timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
13819,345,7.089,115,40.52,,,,
13924,346,6.563,105,40.71,,,,
14026,347,5.757,102,40.88,,,,
14124,348,6.047,98,41.06,,,,
14214,349,5.533,90,41.25,,,,
14252,350,1.668,38,41.32,,,,
14342,351,5.412,90,43.94,,,,
14431,352,5.209,89,44.12,,,,
14530,353,5.891,99,44.29,,,,
14593,354,3.295,63,44.4,,,,
14703,355,6.548,110,44.62,,,,
14757,356,2.537,54,44.73,,,,
14854,357,5.844,97,44.93,,,,
14927,358,3.967,73,45.08,,,,
15027,359,6.068,100,45.28,,,,
15129,360,5.79,102,45.45,,,,
15228,361,5.896,99,45.62,,,,
15266,362,1.514,38,45.69,,,,
15357,363,5.356,91,45.87,,,,
15456,364,6.043,99,46.04,,,,
15534,365,4.369,78,46.17,,,,
15611,366,4.225,77,46.31,,,,
15706,367,5.459,95,46.48,,,,
15816,368,6.306,110,46.68,,,,
15877,369,2.888,61,46.78,,,,
15913,370,1.523,36,46.86,,,,
16012,371,5.691,99,47.03,,,,
16087,372,3.776,75,47.17,,,,
16194,373,6.172,107,47.36,,,,
16300,374,5.923,106,47.55,,,,
16390,375,4.991,90,49.75,,,,
16489,376,5.8,99,49.95,,,,
16597,377,6.195,108,50.14,,,,
16690,378,5.341,93,50.31,,,,
16804,379,7.262,114,50.53,,,,
16900,380,5.424,96,50.72,,,,
16952,381,2.266,52,50.82,,,,
17048,382,5.335,96,51.01,,,,
17167,383,7.658,119,51.23,,,,
17278,384,6.191,111,51.42,,,,
17394,385,6.598,116,51.65,,,,
17492,386,5.635,98,51.82,,,,
17588,387,5.489,96,52.01,,,,
17694,388,6.072,106,52.21,,,,
17796,389,5.353,102,52.4,,,,
17893,390,5.392,97,52.57,,,,
17990,391,5.079,97,52.76,,,,
18055,392,2.758,65,52.88,,,,
18156,393,5.482,101,53.05,,,,
18267,394,5.761,111,53.25,,,,
18364,395,5.389,97,53.42,,,,
18469,396,5.888,105,55.71,,,,
18574,397,6.013,105,55.9,,,,
18677,398,5.682,103,56.08,,,,
18771,399,4.85,94,56.26,,,,
18876,400,5.587,105,56.49,,,,
18958,401,4.122,82,56.66,,,,
19071,402,6.327,113,56.88,,,,
19173,403,5.547,102,57.07,,,,
19273,404,5.521,100,57.25,,,,
19381,405,6.032,108,57.46,,,,
19489,406,5.936,108,57.65,,,,
19587,407,5.265,98,57.84,,,,
19687,408,5.066,100,58.01,,,,
19786,409,5.425,99,58.2,,,,
19885,410,4.968,99,58.37,,,,
19992,411,5.845,107,58.56,,,,
20097,412,5.371,105,59.66,,,,
20201,413,5.706,104,59.84,,,,
20309,414,6.193,108,60.05,,,,
20408,415,5.142,99,60.26,,,,
20501,416,4.863,93,62.57,,,,
20612,417,6.259,111,62.78,,,,
20720,418,5.866,108,62.97,,,,
20826,419,5.395,106,63.18,,,,
20943,420,6.095,117,63.4,,,,
21051,421,5.861,108,63.6,,,,
21160,422,6.118,109,63.81,,,,
21261,423,5.478,101,63.99,,,,
21367,424,5.384,106,64.18,,,,
21464,425,4.966,97,64.36,,,,
21575,426,6.05,111,64.56,,,,
21699,427,5.621,124,64.8,,,,
21804,428,5.351,105,65.01,,,,
21906,429,5.092,102,65.18,,,,
22030,430,6.767,124,65.4,,,,
22150,431,6.495,120,65.61,,,,
22230,432,3.805,80,65.77,,,,
22331,433,5.393,101,65.95,,,,
22436,434,5.381,105,66.12,,,,
22541,435,5.397,105,68.59,,,,
22656,436,6.044,115,68.8,,,,
22766,437,5.799,110,68.99,,,,
22884,438,5.995,118,69.21,,,,
22994,439,5.334,110,69.42,,,,
23106,440,6.306,112,69.64,,,,
23222,441,6.399,116,69.86,,,,
23332,442,5.616,110,70.06,,,,
23453,443,6.276,121,70.26,,,,
23567,444,5.959,114,70.45,,,,
23683,445,6.198,116,70.64,,,,
23782,446,5.035,99,70.81,,,,
23903,447,6.417,121,71.03,,,,
24020,448,6.268,117,71.22,,,,
24127,449,5.708,107,71.4,,,,
24244,450,6.254,117,71.6,,,,
24353,451,5.819,109,71.79,,,,
24475,452,6.254,122,72.0,,,,
24576,453,5.35,101,72.17,,,,
24685,454,5.918,109,74.63,,,,
24806,455,6.242,121,74.85,,,,
24915,456,5.721,109,75.06,,,,
25016,457,5.334,101,75.26,,,,
25137,458,6.208,121,75.5,,,,
25271,459,7.033,134,75.77,,,,
25393,460,6.474,122,75.99,,,,
25516,461,5.739,123,76.21,,,,
25640,462,6.664,124,76.43,,,,
25755,463,5.909,115,76.62,,,,
25881,464,6.694,126,76.85,,,,
26001,465,6.257,120,77.07,,,,
26122,466,6.261,121,77.27,,,,
26240,467,6.224,118,77.48,,,,
26352,468,5.196,112,77.68,,,,
26398,469,1.672,46,77.76,,,,
26501,470,4.922,103,77.95,,,,
26623,471,6.391,122,78.16,,,,
26740,472,6.072,117,80.36,,,,
26862,473,6.134,122,80.57,,,,
26883,474,0.598,21,80.6,,,,
27008,475,6.226,125,80.83,,,,
27128,476,5.876,120,81.05,,,,
27246,477,6.179,118,81.27,,,,
27365,478,5.958,119,81.51,,,,
27479,479,5.358,114,81.7,,,,
27607,480,6.635,128,81.93,,,,
27728,481,6.008,121,82.13,,,,
27847,482,6.139,119,82.34,,,,
27976,483,6.532,129,82.56,,,,
28046,484,2.881,70,82.68,,,,
28173,485,6.333,127,82.93,,,,
28297,486,6.096,124,83.14,,,,
28424,487,6.347,127,83.36,,,,
28549,488,6.61,125,83.56,,,,
28678,489,6.334,129,85.62,,,,
28804,490,6.578,126,85.84,,,,
28934,491,6.601,130,86.06,,,,
29061,492,6.47,127,86.29,,,,
29183,493,6.493,122,86.54,,,,
29311,494,6.671,128,86.8,,,,
29445,495,7.107,134,87.06,,,,
29558,496,5.564,113,87.3,,,,
29645,497,3.69,87,87.48,,,,
29782,498,6.023,137,87.74,,,,
29907,499,6.286,125,87.98,,,,
30037,500,6.432,130,89.46,,,,
30153,501,5.671,116,89.67,,,,
30276,502,5.685,123,89.9,,,,
30390,503,5.492,114,90.15,,,,
30510,504,5.809,120,90.41,,,,
30634,505,5.817,124,90.67,,,,
30757,506,5.553,123,93.36,,,,
30877,507,5.976,120,93.57,,,,
31003,508,6.329,126,93.84,,,,
31130,509,5.946,127,94.12,,,,
31225,510,4.015,95,94.33,,,,
31352,511,6.225,127,94.62,,,,
31402,512,1.71,50,94.76,,,,
31525,513,5.831,123,95.01,,,,
31594,514,2.799,69,95.19,,,,
31724,515,6.516,130,95.44,,,,
31769,516,1.484,45,95.52,,,,
31893,517,6.244,124,95.76,,,,
31969,518,3.05,76,95.89,,,,
32095,519,6.203,126,96.11,,,,
32216,520,5.721,121,96.32,,,,
32341,521,6.129,125,96.55,,,,
32459,522,5.628,118,96.76,,,,
32587,523,6.046,128,97.02,,,,
32709,524,6.079,122,97.24,,,,
32842,525,6.206,133,99.93,,,,
32960,526,5.693,118,100.18,,,,
33077,527,5.544,117,100.43,,,,
33200,528,6.017,123,100.77,,,,
33331,529,6.093,131,101.1,,,,
33466,530,6.434,135,101.33,,,,
33590,531,5.946,124,101.56,,,,
33725,532,6.632,135,101.84,,,,
33853,533,6.125,128,102.08,,,,
33987,534,6.033,134,102.32,,,,
34108,535,5.983,121,102.56,,,,
34235,536,5.911,127,102.8,,,,
34364,537,5.994,129,103.08,,,,
34508,538,6.928,144,103.44,,,,
34625,539,5.565,117,103.7,,,,
34752,540,5.936,127,103.97,,,,
34879,541,6.026,127,106.64,,,,
35014,542,6.262,135,106.91,,,,
35108,543,3.967,94,107.12,,,,
35241,544,6.174,133,107.42,,,,
35350,545,4.895,109,107.68,,,,
35446,546,3.984,96,107.9,,,,
35573,547,5.843,127,108.14,,,,
35693,548,5.589,120,108.36,,,,
35827,549,6.26,134,108.61,,,,
35953,550,6.156,126,108.88,,,,
36085,551,6.257,132,109.17,,,,
36202,552,5.418,117,109.41,,,,
36341,553,6.396,139,109.7,,,,
36466,554,6.016,125,109.95,,,,
36611,555,6.287,145,110.2,,,,
36740,556,6.072,129,110.43,,,,
36881,557,6.458,141,113.15,,,,
37007,558,5.991,126,113.42,,,,
37135,559,6.221,128,113.72,,,,
37261,560,6.067,126,114.07,,,,
37394,561,6.386,133,114.37,,,,
37534,562,6.531,140,114.71,,,,
37670,563,6.584,136,114.99,,,,
37793,564,5.523,123,115.24,,,,
37928,565,6.605,135,115.5,,,,
38058,566,6.016,130,115.74,,,,
38184,567,5.913,126,116.01,,,,
38316,568,6.192,132,116.23,,,,
38444,569,5.877,128,116.45,,,,
38575,570,6.011,131,116.76,,,,
38706,571,5.944,131,117.13,,,,
38782,572,2.948,76,117.27,,,,
38913,573,6.172,131,120.12,,,,
39046,574,5.87,133,120.39,,,,
39176,575,5.894,130,120.71,,,,
39312,576,6.393,136,120.98,,,,
39441,577,6.134,129,121.24,,,,
39564,578,5.868,123,121.49,,,,
39686,579,5.571,122,121.72,,,,
39816,580,6.107,130,121.99,,,,
39940,581,5.859,124,122.2,,,,
40069,582,5.897,129,123.82,,,,
40194,583,5.399,125,124.04,,,,
40328,584,5.914,134,124.29,,,,
40460,585,6.148,132,124.6,,,,
40573,586,4.794,113,124.88,,,,
40703,587,6.028,130,125.13,,,,
40825,588,5.598,122,125.36,,,,
40952,589,5.782,127,125.57,,,,
41084,590,6.118,132,128.46,,,,
